교과목명,이수구분,학점/이론/실습,학년 (학기),주관학과,교수명
공업수학1,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,이동훈
공업수학1,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,이윤영
선형대수,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,김정현
선형대수,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,김장겸
선형대수,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,심태용
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,인공지능데이터사이언스학과,조재원
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,인공지능데이터사이언스학과,박동현
공업수학1,전기,3.0 / 3 / 0,1,정보보호학과,Norma Latif Fitriyani
선형대수,전기,3.0 / 3 / 0,1,정보보호학과,신지선
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,정보보호학과,한동일
C프로그래밍및실습,전기,3.0 / 2 / 2,1,정보보호학과,한동일
확률및통계,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,하태현
확률및통계,전기,3.0 / 3 / 0,1,인공지능데이터사이언스학과,정세훈
C프로그래밍및실습,전기,3.0 / 2 / 2,1,인공지능데이터사이언스학과,신승협
C프로그래밍및실습,전기,3.0 / 2 / 2,1,인공지능데이터사이언스학과,조재원
공업수학1,전기,3.0 / 3 / 0,1,AI로봇학과,이찬화
공업수학1,전기,3.0 / 3 / 0,1,AI로봇학과,박규민
공업수학1,전기,3.0 / 3 / 0,1,AI로봇학과,유재관
선형대수,전기,3.0 / 3 / 0,1,AI로봇학과,김정현
선형대수,전기,3.0 / 3 / 0,1,AI로봇학과,양해상
선형대수,전기,3.0 / 3 / 0,1,AI로봇학과,조재진
선형대수,전기,3.0 / 3 / 0,1,AI로봇학과,우현수
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,강병현
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,최호선
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,류승형
확률및통계,전기,3.0 / 3 / 0,1,AI로봇학과,송진우
확률및통계,전기,3.0 / 3 / 0,1,AI로봇학과,이병무
확률및통계,전기,3.0 / 3 / 0,1,AI로봇학과,조재진
확률및통계,전기,3.0 / 3 / 0,1,AI로봇학과,양해상
C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,강병현
C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,최호선
C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,류승형
C프로그래밍및실습,전기,3.0 / 2 / 2,1,AI로봇학과,박규민
확률및통계,전기,3.0 / 3 / 0,1,소프트웨어학과,이은상
C프로그래밍및실습,전기,3.0 / 2 / 2,1,소프트웨어학과,김천식
공업수학1,전기,3.0 / 3 / 0,1,소프트웨어학과,알안타리무가헤드알리샤우퀴
선형대수,전기,3.0 / 3 / 0,1,소프트웨어학과,이종원
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,소프트웨어학과,김천식
확률및통계,전기,3.0 / 3 / 0,1,전자정보통신공학과,배진수
C프로그래밍및실습,전기,3.0 / 2 / 2,1,전자정보통신공학과,황덕동
C프로그래밍및실습,전기,3.0 / 2 / 2,1,전자정보통신공학과,정민채
공업수학1,전기,3.0 / 3 / 0,1,전자정보통신공학과,김우식
공업수학1,전기,3.0 / 3 / 0,1,전자정보통신공학과,우형수
선형대수,전기,3.0 / 3 / 0,1,전자정보통신공학과,이학성
선형대수,전기,3.0 / 3 / 0,1,전자정보통신공학과,배진수
선형대수,전기,3.0 / 3 / 0,1,전자정보통신공학과,황덕동
선형대수,전기,3.0 / 3 / 0,1,전자정보통신공학과,임준석
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,전자정보통신공학과,황덕동
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,전자정보통신공학과,정민채
공업수학1,전기,3.0 / 3 / 0,1,컴퓨터공학과,이수정
공업수학1,전기,3.0 / 3 / 0,1,컴퓨터공학과,김민철
공업수학1,전기,3.0 / 3 / 0,1,컴퓨터공학과,CAVAZOS QUERO LUIS ARTURO
선형대수,전기,3.0 / 3 / 0,1,컴퓨터공학과,권기덕
선형대수,전기,3.0 / 3 / 0,1,컴퓨터공학과,김민철
선형대수,전기,3.0 / 3 / 0,1,컴퓨터공학과,김나경
선형대수,전기,3.0 / 3 / 0,1,컴퓨터공학과,Tanveer Jawad
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,박태순
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,한동일
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,김천식
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,Tanveer Jawad
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,김도년
확률및통계,전기,3.0 / 3 / 0,1,컴퓨터공학과,현대준
확률및통계,전기,3.0 / 3 / 0,1,컴퓨터공학과,김영우
확률및통계,전기,3.0 / 3 / 0,1,컴퓨터공학과,신수현
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,박태순
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,한동일
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,노재춘
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,김천식
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,김도년
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,Rajendra Dhakal
C프로그래밍및실습,전기,3.0 / 2 / 2,1,컴퓨터공학과,Tanveer Jawad
공업수학1,전기,3.0 / 3 / 0,1,반도체시스템공학과,현대준
선형대수,전기,3.0 / 3 / 0,1,반도체시스템공학과,김영우
고급C프로그래밍및실습,전기,3.0 / 2 / 2,1,반도체시스템공학과,구자현
확률및통계,전기,3.0 / 3 / 0,1,반도체시스템공학과,김영우
C프로그래밍및실습,전기,3.0 / 2 / 2,1,반도체시스템공학과,구자현
